Seaguard RCM DW
Product number:	4451
Serial number:	184

		System Parameters(0)				Conductivity #517(517)		DCS #352(352)													Pressure #363(363)		Temperature #318(318)	Depth and Salinity(Virtual)(0)
Record	Time tag (Gmt)	Battery Voltage(V)	Memory Used(Bytes)	Last Interval(ms)	Time Correction(ms)	Conductivity(mS/cm)	Temperature(Deg.C)	Abs Speed(cm/s)	Direction(Deg.M)	North(cm/s)	East(cm/s)	Heading(Deg.M)	Tilt X(Deg)	Tilt Y(Deg)	SP Std(cm/s)	Strength(dB)	Ping Count	Abs Tilt(Deg)	Max Tilt(Deg)	Std Tilt(Deg)	Pressure(kPa)	Temperature(DegC)	Temperature(DegC)	Depth(m)	Salinity(PSU)	Density(kg/m^3)	Latitude(Deg)	Air Pressure(kPa)
110	11.08.21 21:03:58	8.850	9441280	1798994	0.000	30.341	26.931	2.713	185.620	-2.700	-0.266	294.413	0.908	-0.306	6.419	-32.757	50	2.379	6.148	1.456	158.471	26.923	26.927	5.671	18.037	1010.045	44.000	101.300
111	11.08.21 21:33:58	8.869	9441280	1798994	0.000	30.334	26.933	1.431	183.881	-1.428	-0.097	294.454	0.854	-0.174	6.797	-32.940	50	2.675	4.980	1.260	159.337	26.918	26.915	5.757	18.037	1010.049	44.000	101.300
112	11.08.21 22:03:58	8.863	9441280	1798993	0.000	30.337	26.913	2.089	32.719	1.758	1.129	293.884	1.247	0.377	5.695	-32.820	50	2.727	6.175	1.307	159.547	26.924	26.928	5.778	18.034	1010.043	44.000	101.300
113	11.08.21 22:33:58	8.863	9441280	1798994	0.000	30.330	26.933	0.505	61.120	0.244	0.442	292.979	0.835	0.336	6.610	-31.904	50	2.414	5.377	1.219	159.337	26.918	26.918	5.757	18.034	1010.045	44.000	101.300
114	11.08.21 23:03:58	8.863	9441280	1798994	0.000	30.333	26.933	2.807	117.695	-1.304	2.485	292.257	1.247	0.622	6.736	-32.703	50	2.795	6.967	1.289	158.458	26.915	26.920	5.670	18.035	1010.045	44.000	101.300
115	11.08.21 23:33:58	8.863	9441280	1798994	0.000	30.337	26.926	1.396	110.552	-0.490	1.308	292.108	0.976	0.424	5.795	-32.314	50	2.453	5.743	1.298	159.370	26.917	26.922	5.760	18.036	1010.046	44.000	101.300
116	12.08.21 00:03:58	8.863	9441280	1798993	0.000	30.327	26.926	1.830	11.676	1.792	0.370	295.125	0.957	0.189	5.982	-32.001	50	2.364	6.364	1.344	159.174	26.913	26.914	5.741	18.033	1010.046	44.000	101.300
117	12.08.21 00:33:58	8.863	9441280	1798994	0.000	30.310	26.877	2.781	9.513	2.743	0.460	297.401	0.781	0.046	6.302	-32.445	50	2.006	5.551	1.122	159.488	26.890	26.891	5.772	18.030	1010.051	44.000	101.300
118	12.08.21 01:03:58	8.863	9441280	1798993	0.000	30.310	26.908	3.709	2.497	3.706	0.162	297.951	1.122	0.350	5.062	-33.877	50	2.167	6.166	1.234	159.584	26.901	26.905	5.782	18.025	1010.043	44.000	101.300
119	12.08.21 01:33:58	8.857	9441280	1798993	0.000	30.315	26.929	0.955	20.604	0.894	0.336	294.503	1.242	0.317	5.217	-33.501	50	2.245	4.625	1.013	159.363	26.907	26.910	5.760	18.026	1010.042	44.000	101.300
120	12.08.21 02:03:58	8.863	9441280	1798994	0.000	30.321	26.913	1.710	30.122	1.479	0.858	295.374	0.956	0.189	5.251	-34.408	50	1.980	5.495	1.162	159.266	26.906	26.907	5.750	18.032	1010.047	44.000	101.300
121	12.08.21 02:33:58	8.857	9441280	1798993	0.000	30.321	26.913	3.362	1.212	3.362	0.071	295.071	0.940	-0.102	5.580	-33.785	50	2.015	5.059	1.116	159.628	26.910	26.911	5.786	18.030	1010.045	44.000	101.300
122	12.08.21 03:03:58	8.863	9441280	1798993	0.000	30.312	26.938	4.438	353.201	4.407	-0.525	295.312	0.971	0.192	5.091	-33.091	50	2.186	4.737	0.997	159.530	26.915	26.917	5.776	18.022	1010.037	44.000	101.300
123	12.08.21 03:33:58	8.869	9441280	1798994	0.000	30.315	26.953	4.259	354.166	4.237	-0.433	294.253	1.015	0.148	4.812	-34.415	50	2.138	4.435	0.948	159.199	26.927	26.929	5.743	18.019	1010.031	44.000	101.300
124	12.08.21 04:03:58	8.850	9441280	1798994	0.000	30.315	26.945	1.659	357.061	1.657	-0.085	295.355	1.182	0.256	5.138	-34.289	50	2.253	4.837	1.143	159.347	26.932	26.932	5.758	18.018	1010.029	44.000	101.300
125	12.08.21 04:33:58	8.857	9441280	1798994	0.000	30.316	26.976	2.943	8.451	2.911	0.432	293.792	1.065	0.123	4.687	-33.931	50	2.206	4.608	1.064	159.481	26.930	26.931	5.771	18.019	1010.031	44.000	101.300
126	12.08.21 05:03:58	8.863	9441280	1798993	0.000	30.316	26.936	1.870	14.747	1.808	0.476	292.889	0.953	-0.249	4.791	-33.788	50	2.118	4.459	0.986	159.446	26.936	26.938	5.768	18.017	1010.027	44.000	101.300
127	12.08.21 05:33:58	8.857	9441280	1798994	0.000	30.315	26.956	3.078	24.667	2.797	1.285	292.502	1.031	0.107	5.114	-34.166	50	2.082	4.841	1.031	159.463	26.941	26.943	5.770	18.014	1010.023	44.000	101.300
128	12.08.21 06:03:58	8.850	9441280	1798994	0.000	30.314	26.980	1.331	26.181	1.194	0.587	293.755	1.217	0.317	4.650	-34.719	50	1.911	3.941	0.880	159.544	26.946	26.946	5.778	18.012	1010.021	44.000	101.300
129	12.08.21 06:33:58	8.857	9441280	1798994	0.000	30.314	26.953	1.779	352.167	1.762	-0.242	293.659	1.216	0.409	5.381	-34.647	50	1.998	3.836	0.840	159.549	26.943	26.945	5.778	18.012	1010.021	44.000	101.300
130	12.08.21 07:03:58	8.857	9441280	1798994	0.000	30.329	26.997	2.145	19.312	2.025	0.710	294.507	1.138	0.285	4.808	-33.783	50	1.961	4.154	0.930	159.181	26.973	26.992	5.742	18.004	1010.001	44.000	101.300
131	12.08.21 07:33:58	8.857	9445376	1798994	0.000	30.327	27.022	2.500	66.403	1.001	2.291	293.976	0.959	-0.099	4.434	-33.398	50	1.858	4.067	0.828	159.592	27.002	26.997	5.782	18.001	1009.997	44.000	101.300
132	12.08.21 08:03:58	8.857	9445376	1798993	0.000	30.328	27.020	4.293	60.597	2.108	3.740	294.888	1.119	0.119	4.804	-32.717	50	1.889	3.777	0.850	159.724	27.012	27.009	5.795	17.997	1009.991	44.000	101.300
133	12.08.21 08:33:58	8.850	9445376	1798994	0.000	30.329	27.052	5.367	89.379	0.058	5.367	291.602	0.888	-0.027	4.986	-32.589	50	1.663	3.244	0.859	159.060	27.038	27.044	5.730	17.984	1009.971	44.000	101.300
134	12.08.21 09:03:58	8.857	9445376	1798994	0.000	30.333	27.039	4.147	79.763	0.737	4.081	291.065	1.200	0.251	5.010	-33.199	50	2.199	3.981	0.778	159.407	27.035	27.038	5.764	17.989	1009.976	44.000	101.300
135	12.08.21 09:33:58	8.844	9445376	1798993	0.000	30.327	27.012	4.630	71.674	1.456	4.396	292.749	1.076	0.292	4.421	-32.823	50	2.082	3.965	0.892	159.389	27.026	27.029	5.762	17.989	1009.979	44.000	101.300
136	12.08.21 10:03:58	8.850	9445376	1798993	0.000	30.327	27.022	4.437	89.690	0.024	4.437	293.258	0.997	0.414	5.162	-33.165	50	1.849	3.540	0.799	159.702	27.025	27.026	5.793	17.989	1009.980	44.000	101.300
137	12.08.21 10:33:58	8.857	9445376	1798994	0.000	30.318	27.017	5.562	124.766	-3.171	4.569	287.639	0.914	0.193	5.010	-32.735	50	1.718	3.588	0.710	159.264	26.988	26.986	5.750	17.999	1009.999	44.000	101.300
138	12.08.21 11:03:58	8.857	9445376	1798993	0.000	30.283	26.935	6.009	118.723	-2.888	5.270	287.192	1.004	-0.112	4.600	-33.462	50	1.769	3.467	0.745	159.380	26.921	26.928	5.761	17.999	1010.016	44.000	101.300
139	12.08.21 11:33:58	8.838	9445376	1798994	0.000	30.306	26.941	5.025	59.169	2.575	4.315	293.753	0.944	-0.118	5.318	-33.564	50	1.799	4.436	0.809	159.364	26.921	26.921	5.760	18.016	1010.031	44.000	101.300
140	12.08.21 12:03:58	8.850	9445376	1798994	0.000	30.319	26.953	5.440	80.698	0.879	5.368	292.490	0.940	-0.057	5.037	-33.594	50	1.690	3.079	0.676	159.534	26.982	27.000	5.777	17.994	1009.992	44.000	101.300
141	12.08.21 12:33:58	8.857	9445376	1798995	0.000	30.306	26.990	3.475	101.714	-0.705	3.403	292.473	1.050	0.138	4.349	-33.358	50	1.751	4.269	0.837	159.808	26.975	26.966	5.804	17.999	1010.006	44.000	101.300
142	12.08.21 13:03:58	8.857	9445376	1798994	0.000	30.287	26.958	5.735	86.904	0.310	5.726	291.258	0.987	0.225	4.899	-32.693	50	1.553	2.853	0.622	159.686	26.954	26.955	5.792	17.991	1010.003	44.000	101.300
143	12.08.21 13:33:58	8.844	9445376	1798994	0.000	30.276	26.976	6.570	75.701	1.623	6.367	294.023	0.855	0.267	4.580	-32.947	50	1.572	2.947	0.766	159.967	26.988	26.988	5.820	17.971	1009.978	44.000	101.300
144	12.08.21 14:03:58	8.844	9445376	1798994	0.000	30.265	27.005	5.664	73.142	1.642	5.420	289.551	0.854	-0.384	4.854	-33.561	50	1.662	3.763	0.827	159.717	26.981	26.980	5.795	17.967	1009.977	44.000	101.300
145	12.08.21 14:33:58	8.850	9445376	1798995	0.000	30.276	26.997	4.553	62.670	2.090	4.044	292.492	0.892	-0.061	4.777	-33.756	50	1.461	3.532	0.743	160.177	26.994	26.994	5.840	17.969	1009.975	44.000	101.300
146	12.08.21 15:03:58	8.833	9445376	1798994	0.000	0.020	23.077	12.788	218.056	-10.070	-7.883	277.603	-9.796	-13.157	59.737	-31.483	50	29.768	90.000	34.576	97.611	22.222	22.149	-0.366	0.018	997.751	44.000	101.300
147	12.08.21 15:33:58	8.821	9445376	1798994	0.000	0.019	23.656	54.600	259.430	-10.016	-53.674	270.067	-41.016	-45.578	104.772	-51.158	50	74.414	90.000	10.207	97.475	22.922	23.054	-0.379	0.017	997.540	44.000	101.300
148	12.08.21 16:03:58	8.815	9445376	1798994	0.000	0.020	24.730	96.765	188.804	-95.625	-14.810	122.065	-40.606	-43.786	120.845	-68.551	50	69.295	90.000	8.846	97.334	24.000	24.364	-0.393	0.018	997.221	44.000	101.300
149	12.08.21 16:33:58	8.827	9445376	1798993	0.000	0.018	24.712	31.979	84.774	2.913	31.846	162.337	-42.212	-44.598	104.185	-69.569	50	73.257	90.000	12.506	97.470	24.208	24.370	-0.380	0.017	997.219	44.000	101.300
150	12.08.21 17:03:58	8.827	9445376	1798994	0.000	0.018	24.605	55.896	244.314	-24.228	-50.373	230.988	-42.314	-43.768	110.713	-69.559	50	73.069	90.000	12.689	97.559	24.460	24.437	-0.371	0.017	997.202	44.000	101.300
151	12.08.21 17:33:58	8.815	9445376	1798993	0.000	0.017	22.718	36.493	27.326	32.420	16.752	206.004	-40.556	-43.095	116.288	-69.615	50	68.651	90.000	11.054	97.286	22.668	22.241	-0.398	0.016	997.728	44.000	101.300
152	12.08.21 18:03:58	8.809	9445376	1798994	0.000	0.015	21.559	44.130	109.273	-14.566	41.657	197.967	-41.284	-45.256	106.048	-69.657	50	74.150	90.000	9.424	97.307	21.423	21.415	-0.396	0.015	997.914	44.000	101.300
153	12.08.21 18:33:58	8.815	9441280	1798993	0.000	0.015	22.008	26.481	46.133	18.351	19.092	190.708	-40.868	-45.087	125.549	-69.668	50	70.966	90.000	4.408	97.304	21.940	21.966	-0.396	0.015	997.791	44.000	101.300
154	12.08.21 19:03:58	8.803	9441280	1798994	0.000	0.017	22.267	38.535	32.299	32.572	20.590	195.312	-40.432	-46.187	117.392	-69.627	50	73.600	90.000	7.224	97.300	22.224	22.216	-0.397	0.016	997.734	44.000	101.300
155	12.08.21 19:33:58	8.797	9441280	1798993	0.000	0.020	22.784	17.074	105.815	-4.653	16.428	261.238	-40.745	-46.222	112.057	-69.667	50	73.777	90.000	5.113	97.290	22.684	22.714	-0.398	0.017	997.620	44.000	101.300
156	12.08.21 20:03:58	8.803	9445376	1798994	0.000	0.017	22.923	56.172	78.807	10.904	55.104	240.905	-40.718	-45.850	109.018	-69.678	50	71.937	74.497	0.860	97.328	22.899	22.948	-0.394	0.016	997.564	44.000	101.300
157	12.08.21 20:33:58	8.809	9445376	1798993	0.000	0.017	22.574	39.895	317.941	29.620	-26.725	266.081	-40.719	-46.651	100.706	-69.605	50	74.254	78.952	1.828	97.262	22.568	22.651	-0.401	0.016	997.634	44.000	101.300
158	12.08.21 21:03:58	8.803	9445376	1798993	0.000	0.014	22.626	26.180	297.726	12.180	-23.174	264.407	-43.632	-45.338	102.471	-69.658	50	79.583	82.103	1.386	97.307	22.647	22.686	-0.396	0.015	997.625	44.000	101.300
159	12.08.21 21:33:58	8.797	9445376	1798994	0.000	0.016	22.868	40.148	121.076	-20.724	34.386	150.841	3.362	7.653	97.142	-69.578	50	80.253	90.000	4.487	97.309	22.809	22.825	-0.396	0.016	997.593	44.000	101.300
160	12.08.21 22:03:58	8.797	9445376	1798994	0.000	0.017	22.820	11.326	175.815	-11.296	0.827	88.328	44.515	43.712	100.924	-69.632	50	77.613	90.000	5.461	97.401	22.799	22.816	-0.387	0.016	997.595	44.000	101.300
161	12.08.21 22:33:58	8.797	9445376	1798993	0.000	0.017	22.781	10.222	137.882	-7.583	6.856	121.465	42.665	46.959	110.964	-69.628	50	80.373	90.000	2.745	97.372	22.770	22.773	-0.390	0.016	997.605	44.000	101.300
162	12.08.21 23:03:58	8.803	9445376	1798994	0.000	0.017	22.749	21.333	190.654	-20.966	-3.944	136.846	43.062	45.970	99.635	-69.646	50	79.910	80.866	0.396	97.363	22.739	22.740	-0.391	0.016	997.613	44.000	101.300
163	12.08.21 23:33:58	8.785	9445376	1798993	0.000	0.017	22.703	30.670	344.331	29.531	-8.283	137.239	43.070	45.976	102.218	-69.696	50	79.979	81.094	0.370	97.422	22.701	22.696	-0.385	0.016	997.623	44.000	101.300
164	13.08.21 00:03:58	8.797	9445376	1798994	0.000	0.017	22.637	18.400	126.315	-10.897	14.826	137.316	43.092	45.950	111.463	-69.624	50	79.963	81.075	0.564	97.335	22.654	22.644	-0.393	0.016	997.635	44.000	101.300
165	13.08.21 00:33:58	8.791	9445376	1798994	0.000	0.017	22.602	24.226	310.670	15.788	-18.374	137.305	43.062	45.970	110.777	-69.660	50	79.909	80.951	0.446	97.340	22.610	22.605	-0.393	0.016	997.645	44.000	101.300
166	13.08.21 01:03:58	8.797	9445376	1798993	0.000	0.018	22.597	10.950	30.784	9.407	5.604	137.531	43.046	45.950	117.451	-69.717	50	79.734	80.845	0.472	97.386	22.585	22.585	-0.388	0.016	997.649	44.000	101.300
167	13.08.21 01:33:58	8.803	9445376	1798994	0.000	0.017	22.573	29.187	150.480	-25.398	14.382	137.580	43.067	45.957	118.722	-69.675	50	79.871	81.243	0.494	97.367	22.573	22.563	-0.390	0.016	997.654	44.000	101.300
168	13.08.21 02:03:58	8.803	9445376	1798994	0.000	0.017	22.513	30.572	92.733	-1.458	30.537	137.538	43.090	45.954	121.790	-69.647	50	79.968	81.179	0.459	97.369	22.548	22.528	-0.390	0.016	997.662	44.000	101.300
169	13.08.21 02:33:58	8.803	9445376	1798993	0.000	0.017	22.474	53.774	127.367	-32.636	42.737	137.109	43.066	45.970	102.348	-69.662	50	79.927	81.138	0.424	97.390	22.514	22.496	-0.388	0.016	997.670	44.000	101.300
170	13.08.21 03:03:58	8.797	9445376	1798994	0.000	0.017	22.486	30.816	124.241	-17.339	25.475	136.551	43.089	45.954	99.592	-69.629	50	79.958	81.072	0.418	97.435	22.489	22.475	-0.383	0.016	997.675	44.000	101.300
171	13.08.21 03:33:58	8.797	9445376	1798993	0.000	0.017	22.444	20.684	40.774	15.664	13.508	137.511	43.068	45.967	106.934	-69.708	50	79.925	81.031	0.450	97.481	22.468	22.452	-0.379	0.016	997.680	44.000	101.300
172	13.08.21 04:03:58	8.791	9445376	1798994	0.000	0.016	22.394	29.545	75.597	7.349	28.616	136.878	43.086	45.968	103.294	-69.723	50	80.026	81.187	0.535	97.312	22.436	22.412	-0.396	0.016	997.689	44.000	101.300
173	13.08.21 04:33:58	8.797	9445376	1798994	0.000	0.016	22.365	28.406	282.694	6.242	-27.711	137.396	43.075	45.949	116.315	-69.689	50	79.873	81.420	0.542	97.328	22.394	22.374	-0.394	0.016	997.698	44.000	101.300
174	13.08.21 05:03:58	8.791	9445376	1798994	0.000	0.017	22.357	29.784	61.696	14.122	26.223	137.331	43.079	45.930	90.400	-69.728	50	79.788	80.829	0.437	97.418	22.366	22.345	-0.385	0.016	997.705	44.000	101.300
175	13.08.21 05:33:58	8.797	9445376	1798994	0.000	0.016	22.301	20.223	39.183	15.675	12.777	136.861	43.071	45.982	101.076	-69.730	50	80.018	81.458	0.449	97.428	22.325	22.300	-0.384	0.016	997.715	44.000	101.300
176	13.08.21 06:03:58	8.791	9445376	1798994	0.000	0.016	22.255	30.013	225.489	-21.040	-21.402	137.239	43.075	45.974	113.409	-69.658	50	79.999	80.957	0.465	97.384	22.277	22.250	-0.388	0.016	997.726	44.000	101.300
177	13.08.21 06:33:58	8.791	9445376	1798993	0.000	0.016	22.238	62.439	116.632	-27.988	55.814	136.974	43.070	45.990	113.969	-69.639	50	80.059	81.436	0.549	97.291	22.243	22.224	-0.398	0.016	997.732	44.000	101.300
178	13.08.21 07:03:58	8.791	9445376	1798994	0.000	0.017	22.209	26.817	101.169	-5.195	26.309	137.131	43.074	45.960	98.211	-69.644	50	79.918	80.775	0.445	97.335	22.227	22.210	-0.393	0.016	997.736	44.000	101.300
179	13.08.21 07:33:58	8.791	9445376	1798994	0.000	0.016	22.194	37.934	74.014	10.447	36.467	137.401	43.074	45.973	114.160	-69.700	50	79.987	81.440	0.499	97.414	22.206	22.182	-0.385	0.016	997.742	44.000	101.300
180	13.08.21 08:03:58	8.791	9445376	1798993	0.000	0.017	22.146	22.332	19.139	21.097	7.322	136.994	43.102	45.972	101.010	-69.708	50	80.123	81.003	0.433	97.328	22.163	22.136	-0.394	0.016	997.753	44.000	101.300
181	13.08.21 08:33:58	8.791	9445376	1798994	0.000	0.016	22.103	27.730	184.591	-27.641	-2.219	136.756	43.111	45.961	102.601	-69.640	50	80.114	81.045	0.496	97.373	22.115	22.087	-0.390	0.016	997.763	44.000	101.300
182	13.08.21 09:03:58	8.779	9449472	1798993	0.000	0.016	22.053	18.262	280.176	3.227	-17.975	137.061	43.087	45.972	102.935	-69.687	50	80.046	81.038	0.424	97.513	22.064	22.034	-0.376	0.016	997.776	44.000	101.300
183	13.08.21 09:33:58	8.785	9449472	1798994	0.000	0.017	21.989	55.100	132.862	-37.481	40.388	136.957	43.095	45.968	108.888	-69.656	50	80.070	81.481	0.484	97.283	22.016	21.988	-0.398	0.016	997.786	44.000	101.300
184	13.08.21 10:03:58	8.785	9449472	1798994	0.000	0.017	21.974	26.986	318.473	20.203	-17.891	137.298	43.108	45.965	102.764	-69.645	50	80.118	81.233	0.456	97.277	21.983	21.962	-0.399	0.016	997.792	44.000	101.300
185	13.08.21 10:33:58	8.785	9449472	1798994	0.000	0.017	21.937	26.341	205.519	-23.772	-11.348	136.970	43.077	45.965	114.931	-69.656	50	79.959	80.984	0.464	97.299	21.966	21.950	-0.397	0.016	997.795	44.000	101.300
186	13.08.21 11:03:58	8.785	9449472	1798994	0.000	0.016	21.934	48.244	146.255	-40.116	26.799	136.881	43.090	45.961	127.073	-69.661	50	80.010	81.073	0.488	97.397	21.952	21.931	-0.387	0.016	997.799	44.000	101.300
